('mov' 'push' 'mov' 'sub' 'mov')	('push' 'mov' 'sub' 'mov' 'mov')	('mov' 'mov' 'push' 'mov' 'sub')	('nop' 'jmp' 'nop' 'jmp' 'nop')	('jmp' 'nop' 'jmp' 'nop' 'jmp')	binary	optimized
67	147	52	26	24	df_NGRAMS.txt_-fexpensive-optimizations	0
57	117	48	14	12	rm_NGRAMS.txt_-fexpensive-optimizations	0
42	70	35	11	9	sum_NGRAMS.txt_-fexpensive-optimizations	0
40	67	33	11	9	head_NGRAMS.txt_-fexpensive-optimizations	0
41	59	35	11	9	pathchk_NGRAMS.txt_-fexpensive-optimizations	0
42	65	35	11	9	seq_NGRAMS.txt_-fexpensive-optimizations	0
48	88	37	12	9	tr_NGRAMS.txt_-fexpensive-optimizations	0
104	205	65	79	73	ptx_NGRAMS.txt_-fexpensive-optimizations	0
64	122	49	12	10	shuf_NGRAMS.txt_-fexpensive-optimizations	0
102	186	70	78	72	tac_NGRAMS.txt_-fexpensive-optimizations	0
40	64	33	11	9	cat_NGRAMS.txt_-fexpensive-optimizations	0
85	203	68	19	16	sort_NGRAMS.txt_-fexpensive-optimizations	0
46	70	36	11	9	tsort_NGRAMS.txt_-fexpensive-optimizations	0
48	69	39	11	9	stdbuf_NGRAMS.txt_-fexpensive-optimizations	0
41	65	35	11	9	unexpand_NGRAMS.txt_-fexpensive-optimizations	0
47	75	36	44	42	uptime_NGRAMS.txt_-fexpensive-optimizations	0
39	59	33	11	9	logname_NGRAMS.txt_-fexpensive-optimizations	0
46	68	40	12	10	dircolors_NGRAMS.txt_-fexpensive-optimizations	0
39	59	33	11	9	whoami_NGRAMS.txt_-fexpensive-optimizations	0
57	110	48	15	13	chmod_NGRAMS.txt_-fexpensive-optimizations	0
63	93	55	13	11	mkdir_NGRAMS.txt_-fexpensive-optimizations	0
40	58	34	11	9	false_NGRAMS.txt_-fexpensive-optimizations	0
58	84	50	11	9	id_NGRAMS.txt_-fexpensive-optimizations	0
46	73	38	11	9	md5sum_NGRAMS.txt_-fexpensive-optimizations	0
56	79	48	13	11	mknod_NGRAMS.txt_-fexpensive-optimizations	0
